,Title,weight,length,height,width,id
0,"Minecraft Ultimate Ender Dragon Figure, 20-in Mist-Breathing Creature, Plus 3.25-in Color-Change Steve Figure, Weapon, Amor and Battle Accessory, Gift for 6 Years Old and Up",897.93,21.65,5.91,19.69,1
1,"Magic Mixies Magical Misting Cauldron with Interactive 8 inch Blue Plush Toy and 50+ Sounds and Reactions, Multicolor",1102.005,9.25,7.91,8.27,2
2,"12PCS Push Pop Fidget Toy Fidget Bracelet, Durable and Adjustable, Multicolor Stress Relief Finger Press Bracelet for Kids and Adults ADHD ADD Autism (Option 1)",129.33819999999997,10.43,2.52,1.34,3
3,"Dinosaur Toys for 3 4 5 6 7 Year Old Boys, Take Apart Dinosaur Toys for Kids 3-5 5-7 STEM Construction Building Kids Toys with Electric Drill, Dinosaur Toys Christmas Birthday Gifts Boys Girls",453.5,7.0,3.0,6.0,4
4,"Osmo - Creative Starter Kit for iPad - 3 Educational Learning Games - Ages 5-10 - Drawing, Word Problems & Early Physics - STEM Toy (Osmo Base Included)",997.7,3.25,12.0,9.6,5
5,"Tencoz Kids Musical Mats, 10 Keys Piano Mat with 8 Selectable Musical Instruments, Floor Keyboard for Boys Girls, Kids Early Educational Toys (58.26” x 23.62”)",721.065,15.67,11.57,2.72,6
6,Discovery Toys Marbleworks Deluxe Marble Run | Kid-Powered Learning | STEM Educational Building Block Toy Learning & Childhood Development 5 Years Old and Up,2680.185,16.5,12.4,10.6,7
7,"BEST LEARNING Connectrix - Exciting Educational Matching Game Toy for Kids Ages 6 Years and up, 1 to 2 Players",376.76779999999997,11.61,2.56,4.02,8
8,"Electronic Interactive Alphabet Wall Chart,ABC & 123s Music Talking Poster,Best Educational Toy for 2 Year olds and 3 Year olds, Toddler Toys for Boys & Girls",216.5009,17.8,7.5,2.0,9
9,"Osmo - Genius Starter Kit, Ages 6-10 - Math, Spelling, Creativity & More - STEM Toy Educational Learning Games (Osmo Base Included)",997.7,2.75,12.0,9.6,10
10,"DINOBROS Dinosaur Toy Pull Back Cars, 6 Pack Dino Toys for 3 Year Old Boys and Toddlers, Boy Toys Age 3,4,5 and Up, Pull Back Toy Cars, Dinosaur Games with T-Rex",295.2285,9.1,5.6,1.9,11
